rep_id,start_frame,end_frame,knee_angle_min,hip_angle_min,torso_lean_max,tempo_sec,smoothness,fatigue_score,injury_risk,mistake_label,knee_tracking_proxy,depth_proxy,evidence_frame
1,69,118,96.83807383452455,58.434264643102274,18.63623025602506,1.6333333333333333,8.257727210286268,0.2626169008502155,0.6702705902910712,knee_tracking,0.6110842670706332,0.7560175105952314,76
2,174,217,99.1691685481043,58.587264084161646,17.81073076328265,1.4333333333333333,9.048619233710648,0.2,0.8306607045149702,knee_tracking,0.7527216233694176,0.7348257404717792,178
3,270,309,97.27411299978039,55.577983189837326,17.60635596012568,1.3,13.054001452303755,0.23452859567863615,0.40174537984149644,knee_tracking,0.40103737127135775,0.7520535181838147,273
4,372,415,98.12531370371269,55.35365814290685,15.248368483648017,1.4333333333333333,23.97264144046437,0.20734323309989222,0.5073137384975255,knee_tracking,0.49200804470747267,0.7443153299662483,385
5,513,553,96.63059334426943,58.035186325790235,17.30888613268591,1.3333333333333333,12.716221917158647,0.2553345829947212,0.7704820278201536,knee_tracking,0.7049562245070596,0.7579036968702779,517
6,611,650,102.75472556781122,55.19428410650653,18.434083436823105,1.3,12.323132290936126,0.2263754593893865,1.0,knee_tracking,1.1103958141860653,0.7022297675653525,615
7,746,784,101.65388092888031,59.5454318753761,16.211287976787673,1.2666666666666666,11.43128097100268,0.25146749845561533,0.5127576370704694,knee_tracking,0.453454447839076,0.7122374461010881,749
8,826,902,98.70416643847534,53.56739762068703,16.218669940357934,2.533333333333333,25.658446241763226,0.49347826086956526,0.5561606152937167,knee_tracking,0.5483309238819721,0.7390530323774969,866
9,1008,1058,95.94422202306617,53.81170417151094,17.6977079681305,1.6666666666666667,16.34098378497175,0.24716059037255286,0.6724808683665591,knee_tracking,0.625205942800393,0.7641434361539439,1011
10,1184,1236,89.2437671841436,57.78451167705704,18.04890829942432,1.7333333333333334,18.889141676433518,0.2586956521739131,0.7160187049708575,knee_tracking,0.6553279164998127,0.8250566619623309,1190
11,1330,1376,94.87473666357062,72.0369478352506,19.53066414378475,1.5333333333333334,16.178502360523797,0.22353540007570427,1.0,knee_tracking,1.05231306358796,0.7738660303311762,1334
12,1478,1522,88.8118845833659,59.05653135821066,18.286288155702653,1.4666666666666666,21.213885008658018,0.2,0.7406788909716395,knee_tracking,0.7022974910079061,0.8289828674239464,1482
13,1636,1684,97.36523661694338,52.692152079737866,18.632452799748894,1.6,17.959945207727024,0.23397605578951028,0.7525885200535112,knee_tracking,0.7210185172561194,0.7512251216641511,1678
14,1771,2137,84.79557795840404,55.43357138099334,18.746329757990775,12.2,13.548455522677338,1.0,0.738100281000551,knee_tracking,0.6913000283352515,0.8654947458326906,1924
15,2256,2312,94.57780847402887,50.87235378471483,18.04238107882229,1.8666666666666667,26.200086017595396,0.2978260869565218,0.5045011252091738,knee_tracking,0.49086555024202827,0.7765653775088285,2259
16,2316,2473,97.80964991826212,58.13331683281656,14.021386064426,5.233333333333333,34.95767870689831,1.0,0.386335335780181,knee_tracking,0.40346778195628913,0.7471850007430716,2432
17,2565,2604,97.59133429554937,59.460438060795276,15.356733944316247,1.3,34.1205387588395,0.2,0.44262215825301543,knee_tracking,0.4379132363462595,0.7491696882222785,2567
