frame,timestamp,landmark_name,x,y,z,visibility
0,0.0,left_shoulder,0.49034905433654785,0.3484998345375061,-0.007131962105631828,0.9994736313819885
0,0.0,right_shoulder,0.6005170345306396,0.3358801305294037,0.05998876318335533,0.9996950626373291
0,0.0,left_hip,0.5204806923866272,0.6360055208206177,-0.007355989422649145,0.9956069588661194
0,0.0,right_hip,0.5891735553741455,0.6319389343261719,0.006824333220720291,0.995008111000061
0,0.0,left_knee,0.5214704871177673,0.8597157597541809,0.03367313742637634,0.742496907711029
0,0.0,right_knee,0.6094358563423157,0.8374658823013306,0.0531998872756958,0.7616491913795471
0,0.0,left_ankle,0.5094460248947144,1.0550055503845215,0.06130513921380043,0.6135626435279846
0,0.0,right_ankle,0.6318828463554382,1.010646104812622,0.07703396677970886,0.5859005451202393
1,0.029739722540409828,left_shoulder,0.48592087626457214,0.3486466407775879,0.005326753482222557,0.999427855014801
1,0.029739722540409828,right_shoulder,0.6005783677101135,0.3359595537185669,0.04445362091064453,0.9996732473373413
1,0.029739722540409828,left_hip,0.520341157913208,0.641264796257019,-0.0008153857779689133,0.9956175088882446
1,0.029739722540409828,right_hip,0.5889346599578857,0.6367067694664001,0.00027071379008702934,0.9950214624404907
1,0.029739722540409828,left_knee,0.5216586589813232,0.8639937043190002,0.03611568361520767,0.7366568446159363
1,0.029739722540409828,right_knee,0.6096092462539673,0.8430303931236267,0.04709209129214287,0.7592332363128662
1,0.029739722540409828,left_ankle,0.5107380747795105,1.0688081979751587,0.06334005296230316,0.6038233637809753
1,0.029739722540409828,right_ankle,0.6320251822471619,1.013183355331421,0.06885211169719696,0.5801647305488586
2,0.059479445080819655,left_shoulder,0.4850340783596039,0.3486543297767639,0.003555689472705126,0.9994115233421326
2,0.059479445080819655,right_shoulder,0.6006051898002625,0.33614492416381836,0.03746957704424858,0.9996687769889832
2,0.059479445080819655,left_hip,0.5209401249885559,0.6447368264198303,0.0007484480738639832,0.995628297328949
2,0.059479445080819655,right_hip,0.588918149471283,0.6410725116729736,-0.0012923830654472113,0.9950604438781738
2,0.059479445080819655,left_knee,0.5222457647323608,0.8671694993972778,0.042741354554891586,0.7256503701210022
2,0.059479445080819655,right_knee,0.6118270754814148,0.8548399806022644,0.04488484933972359,0.7518818378448486
2,0.059479445080819655,left_ankle,0.5109652876853943,1.0744549036026,0.07772193104028702,0.5919840931892395
2,0.059479445080819655,right_ankle,0.6311707496643066,1.068561315536499,0.06885137408971786,0.5720331072807312
3,0.08921916762122949,left_shoulder,0.484241783618927,0.3487195372581482,0.0033296754118055105,0.9993895888328552
